modo,llm,embedding,id,golden,acierto
densa,ES sin reescribir,"bge-small (ctl, local)",pr-e13,propio,True
densa,ES sin reescribir,"bge-small (ctl, local)",pr-e14,propio,True
densa,ES sin reescribir,"bge-small (ctl, local)",pr-e15,propio,False
densa,ES sin reescribir,"bge-small (ctl, local)",pr-e16,propio,False
densa,ES sin reescribir,"bge-small (ctl, local)",pr-e18,propio,True
densa,ES sin reescribir,"bge-small (ctl, local)",pr-e19,propio,True
densa,ES sin reescribir,"bge-small (ctl, local)",pr-e20,propio,False
densa,ES sin reescribir,"bge-small (ctl, local)",pr-c06,propio,True
densa,ES sin reescribir,"bge-small (ctl, local)",pr-c09,propio,False
densa,ES sin reescribir,"bge-small (ctl, local)",pr-c10,propio,False
densa,ES sin reescribir,"bge-small (ctl, local)",pr-c11,propio,False
densa,ES sin reescribir,"bge-small (ctl, local)",pr-c12,propio,False
densa,ES sin reescribir,"bge-small (ctl, local)",pr-c13,propio,False
densa,ES sin reescribir,"bge-small (ctl, local)",of-001,oficial,False
densa,ES sin reescribir,"bge-small (ctl, local)",of-002,oficial,True
densa,ES sin reescribir,"bge-small (ctl, local)",of-003,oficial,True
densa,ES sin reescribir,"bge-small (ctl, local)",of-004,oficial,False
densa,ES sin reescribir,"bge-small (ctl, local)",of-005,oficial,False
densa,ES sin reescribir,"bge-small (ctl, local)",of-006,oficial,True
densa,ES sin reescribir,"bge-small (ctl, local)",of-014,oficial,True
densa,ES sin reescribir,"bge-small (ctl, local)",of-015,oficial,False
densa,ES sin reescribir,"bge-small (ctl, local)",of-016,oficial,False
densa,ES sin reescribir,"bge-small (ctl, local)",of-017,oficial,True
densa,ES sin reescribir,"bge-small (ctl, local)",of-018,oficial,False
densa,ES sin reescribir,"bge-small (ctl, local)",of-019,oficial,False
densa,ES sin reescribir,"bge-small (ctl, local)",of-020,oficial,True
hibrida,ES sin reescribir,"bge-small (ctl, local)",pr-e13,propio,True
hibrida,ES sin reescribir,"bge-small (ctl, local)",pr-e14,propio,True
hibrida,ES sin reescribir,"bge-small (ctl, local)",pr-e15,propio,False
hibrida,ES sin reescribir,"bge-small (ctl, local)",pr-e16,propio,False
hibrida,ES sin reescribir,"bge-small (ctl, local)",pr-e18,propio,True
hibrida,ES sin reescribir,"bge-small (ctl, local)",pr-e19,propio,True
hibrida,ES sin reescribir,"bge-small (ctl, local)",pr-e20,propio,True
hibrida,ES sin reescribir,"bge-small (ctl, local)",pr-c06,propio,True
hibrida,ES sin reescribir,"bge-small (ctl, local)",pr-c09,propio,False
hibrida,ES sin reescribir,"bge-small (ctl, local)",pr-c10,propio,False
hibrida,ES sin reescribir,"bge-small (ctl, local)",pr-c11,propio,False
hibrida,ES sin reescribir,"bge-small (ctl, local)",pr-c12,propio,False
hibrida,ES sin reescribir,"bge-small (ctl, local)",pr-c13,propio,False
hibrida,ES sin reescribir,"bge-small (ctl, local)",of-001,oficial,False
hibrida,ES sin reescribir,"bge-small (ctl, local)",of-002,oficial,False
hibrida,ES sin reescribir,"bge-small (ctl, local)",of-003,oficial,True
hibrida,ES sin reescribir,"bge-small (ctl, local)",of-004,oficial,False
hibrida,ES sin reescribir,"bge-small (ctl, local)",of-005,oficial,True
hibrida,ES sin reescribir,"bge-small (ctl, local)",of-006,oficial,True
hibrida,ES sin reescribir,"bge-small (ctl, local)",of-014,oficial,True
hibrida,ES sin reescribir,"bge-small (ctl, local)",of-015,oficial,False
hibrida,ES sin reescribir,"bge-small (ctl, local)",of-016,oficial,False
hibrida,ES sin reescribir,"bge-small (ctl, local)",of-017,oficial,True
hibrida,ES sin reescribir,"bge-small (ctl, local)",of-018,oficial,False
hibrida,ES sin reescribir,"bge-small (ctl, local)",of-019,oficial,False
hibrida,ES sin reescribir,"bge-small (ctl, local)",of-020,oficial,True
densa,deepseek-v4-flash,"bge-small (ctl, local)",pr-e13,propio,True
densa,deepseek-v4-flash,"bge-small (ctl, local)",pr-e14,propio,True
densa,deepseek-v4-flash,"bge-small (ctl, local)",pr-e15,propio,False
densa,deepseek-v4-flash,"bge-small (ctl, local)",pr-e16,propio,False
densa,deepseek-v4-flash,"bge-small (ctl, local)",pr-e18,propio,True
densa,deepseek-v4-flash,"bge-small (ctl, local)",pr-e19,propio,True
densa,deepseek-v4-flash,"bge-small (ctl, local)",pr-e20,propio,True
densa,deepseek-v4-flash,"bge-small (ctl, local)",pr-c06,propio,True
densa,deepseek-v4-flash,"bge-small (ctl, local)",pr-c09,propio,True
densa,deepseek-v4-flash,"bge-small (ctl, local)",pr-c10,propio,True
densa,deepseek-v4-flash,"bge-small (ctl, local)",pr-c11,propio,False
densa,deepseek-v4-flash,"bge-small (ctl, local)",pr-c12,propio,True
densa,deepseek-v4-flash,"bge-small (ctl, local)",pr-c13,propio,True
densa,deepseek-v4-flash,"bge-small (ctl, local)",of-001,oficial,False
